model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
deepseek/deepseek-v3.2:off,aimepp,AIME,CB,30.0,63,34,0.058823529411764705,0.20588235294117646,0.14705882352941177,0.07472293375658888,0.04906174034930788
deepseek/deepseek-v3.2:off,aimepp,AIME,CB,100.0,203,34,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.04937482703908926,0.07392937672078004
deepseek/deepseek-v3.2:off,aimepp,AIME,CB,300.0,603,34,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.04937482703908926,0.07392937672078004
deepseek/deepseek-v3.2:off,aimepp,AIME,CB,1000.0,2004,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0409594484601642,0.1509623197602521
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,4.0,4,34,0.058823529411764705,0.058823529411764705,0.0,0.04222003309207491,1.0
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,16.0,16,34,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.04937482703908926,0.07392937672078004
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,64.0,64,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.040959448460164194,0.1509623197602521
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,256.0,256,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0409594484601642,0.1509623197602521
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,300.0,300,34,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.04937482703908926,0.07392937672078004
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,1024.0,1024,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0409594484601642,0.1509623197602521
deepseek/deepseek-v3.2:off,aimepp,AIME,XB,4096.0,4096,34,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.02941176470588235,0.3173105078629139
deepseek/deepseek-v3.2:off,aimepp,AIME,RB,1.0,46,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0409594484601642,0.1509623197602521
deepseek/deepseek-v3.2:off,aimepp,AIME,RB,5.0,231,34,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.040959448460164194,0.1509623197602521
gpt-6-astra:low,aimepp,None,CB,10.0,23,152,0.1568627450980392,0.1794871794871795,0.02631578947368421,0.020763083788330677,0.20500099003843175
gpt-6-astra:low,aimepp,None,CB,30.0,63,153,0.1568627450980392,0.18471337579617833,0.032679738562091505,0.019492840132792833,0.09364037573850048
gpt-6-astra:low,aimepp,None,CB,100.0,203,152,0.1568627450980392,0.17307692307692307,0.019736842105263157,0.017389783223128816,0.25638885598889516
gpt-6-astra:low,aimepp,None,CB,300.0,603,153,0.1568627450980392,0.21656050955414013,0.06535947712418301,0.022088266607056966,0.0030862566963112403
gpt-6-astra:low,aimepp,None,CB,1000.0,2004,153,0.1568627450980392,0.21019108280254778,0.058823529411764705,0.023156662200533414,0.011077574213381736
gpt-6-astra:low,aimepp,None,XB,4.0,4,150,0.1568627450980392,0.12987012987012986,-0.02666666666666667,0.0162383440672451,0.10054782222731129
gpt-6-astra:low,aimepp,None,XB,16.0,16,140,0.1568627450980392,0.1619718309859155,0.0,0.017559179045628058,1.0
gpt-6-astra:low,aimepp,None,XB,64.0,64,150,0.1568627450980392,0.19607843137254902,0.04666666666666667,0.017279558643243598,0.0069196578363162065
gpt-6-astra:low,aimepp,None,XB,256.0,256,153,0.1568627450980392,0.17834394904458598,0.026143790849673203,0.02062764804758275,0.20500693390204816
gpt-6-astra:low,aimepp,None,XB,300.0,300,152,0.1568627450980392,0.20512820512820512,0.05263157894736842,0.020429071381118078,0.009986166409730046
gpt-6-astra:low,aimepp,None,XB,1024.0,1024,153,0.1568627450980392,0.20382165605095542,0.05228758169934641,0.020298023938729072,0.009995246872748886
gpt-6-astra:low,aimepp,None,XB,4096.0,4096,153,0.1568627450980392,0.21656050955414013,0.06535947712418301,0.022088266607056962,0.0030862566963112403
gpt-6-astra:low,aimepp,None,XB,8192.0,8192,153,0.1568627450980392,0.22929936305732485,0.0784313725490196,0.023696517034478917,0.0009335364168392424
