           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
    gpt-5.6-sol:none mmlupro  XC   20             20 100 0.76     0.765 -0.005    0.052   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  XC  140            140 100 0.80     0.765  0.035    0.050   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  XC  700            700 100 0.79     0.765  0.025    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CB   10             28 100 0.78     0.765  0.015    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CB   50            148 100 0.77     0.765  0.005    0.052   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CB  100            298 100 0.80     0.765  0.035    0.050   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CB  500           1498 100 0.82     0.765  0.055    0.049   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CB 1000           2999 100 0.79     0.765  0.025    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CC   10             28 100 0.78     0.765  0.015    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  CC  100            298 100 0.74     0.765 -0.025    0.053   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  RB    1            184 100 0.84     0.765  0.075    0.047   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  RB    3            555 100 0.84     0.765  0.075    0.047   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro   C    1              0 100 0.84     0.765  0.075    0.047   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro   C    3              0 100 0.79     0.765  0.025    0.051   1.00       1.00                     0
claude-fable-5-1:low mmlupro  XB   20             20 100 0.88     0.870  0.010    0.040   1.00       1.00                     4
claude-fable-5-1:low mmlupro  XB  140            140 100 0.88     0.870  0.010    0.040   1.00       1.00                     4
claude-fable-5-1:low mmlupro  XB  700            700 100 0.89     0.870  0.020    0.039   0.99       0.99                     7
claude-fable-5-1:low mmlupro  XC   20             20 100 0.88     0.870  0.010    0.040   1.00       1.00                     6
claude-fable-5-1:low mmlupro  XC  140            140 100 0.85     0.870 -0.020    0.043   1.00       1.00                    18
claude-fable-5-1:low mmlupro  XC  700            700 100 0.89     0.870  0.020    0.039   1.00       1.00                    74
claude-fable-5-1:low mmlupro  CB   10             28 100 0.88     0.870  0.010    0.040   1.00       1.00                     4
claude-fable-5-1:low mmlupro  CB   50            148 100 0.86     0.870 -0.010    0.042   0.97       0.97                     7
claude-fable-5-1:low mmlupro  CB  100            298 100 0.90     0.870  0.030    0.038   0.98       0.97                     7
claude-fable-5-1:low mmlupro  CB  500           1498 100 0.87     0.870  0.000    0.041   0.98       0.98                     7
claude-fable-5-1:low mmlupro  CB 1000           2999 100 0.87     0.870  0.000    0.041   1.00       0.97                    11
claude-fable-5-1:low mmlupro  CC   10             28 100 0.88     0.870  0.010    0.040   1.00       1.00                     4
claude-fable-5-1:low mmlupro  CC  100            298 100 0.88     0.870  0.010    0.040   1.00       1.00                     4
