model_eff,depth,arm,k,n,acc,compliant,rt
gpt-6-astra:low,6,XB,40,40,0.9,1.0,0.0
gpt-6-astra:low,6,XB,70,40,0.975,1.0,0.0
gpt-6-astra:low,6,XB,140,40,1.0,1.0,0.0
gpt-6-astra:low,6,XB,260,40,1.0,1.0,0.0
gpt-6-astra:low,6,XB,520,40,1.0,1.0,0.0
gpt-6-astra:low,6,XB,1040,40,1.0,1.0,0.0
gpt-6-astra:low,6,XB,2090,40,1.0,1.0,0.0
gpt-6-astra:low,6,XC,1,40,0.575,1.0,0.0
gpt-6-astra:low,6,XC,2,40,0.75,1.0,0.0
gpt-6-astra:low,6,XC,5,40,0.625,1.0,0.0
gpt-6-astra:low,6,XC,10,40,0.775,1.0,0.0
gpt-6-astra:low,6,XC,20,40,0.9,1.0,0.0
gpt-6-astra:low,6,XC,40,40,1.0,1.0,0.0
gpt-6-astra:low,6,XC,70,40,0.975,1.0,0.0
gpt-6-astra:low,6,XC,140,40,1.0,1.0,0.0
gpt-6-astra:low,6,XC,260,40,1.0,0.975,0.0
gpt-6-astra:low,6,XC,520,40,1.0,1.0,0.0
gpt-6-astra:low,6,XC,1040,40,1.0,1.0,0.0
gpt-6-astra:low,6,XC,2090,40,1.0,0.95,0.0
gpt-6-astra:low,8,B,0,40,0.0,1.0,0.0
gpt-6-astra:low,8,XB,1,40,0.1,1.0,0.0
gpt-6-astra:low,8,XB,2,40,0.15,1.0,0.0
gpt-6-astra:low,8,XB,5,40,0.1,1.0,0.0
gpt-6-astra:low,8,XB,10,40,0.125,1.0,0.0
gpt-6-astra:low,8,XB,20,40,0.1,1.0,0.0
gpt-6-astra:low,8,XB,40,40,0.175,1.0,0.0
gpt-6-astra:low,8,XB,70,40,0.25,1.0,0.0
gpt-6-astra:low,8,XB,140,40,0.6,1.0,0.0
gpt-6-astra:low,8,XB,340,40,0.8,1.0,0.0
gpt-6-astra:low,8,XB,680,40,0.85,1.0,0.0
gpt-6-astra:low,8,XB,1360,40,0.9,1.0,0.0
gpt-6-astra:low,8,XB,2730,40,0.9,1.0,0.0
gpt-6-astra:low,8,XC,1,40,0.1,1.0,0.0
gpt-6-astra:low,8,XC,2,40,0.15,1.0,0.0
gpt-6-astra:low,8,XC,5,40,0.15,1.0,0.0
gpt-6-astra:low,8,XC,10,40,0.1,1.0,0.0
gpt-6-astra:low,8,XC,20,40,0.175,1.0,0.0
gpt-6-astra:low,8,XC,40,40,0.225,1.0,0.0
gpt-6-astra:low,8,XC,70,40,0.45,1.0,0.0
gpt-6-astra:low,8,XC,140,40,0.675,1.0,0.0
gpt-6-astra:low,8,XC,340,40,0.875,1.0,0.0
gpt-6-astra:low,8,XC,680,40,0.85,1.0,0.0
gpt-6-astra:low,8,XC,1360,40,0.8,1.0,0.0
gpt-6-astra:low,8,XC,2730,40,0.7,1.0,0.0
